objname,count,gaze_coordx,gaze_coordy,gaze_coordz,minboundx,minboundy,minboundz,maxboundx,maxboundy,maxboundz,timestamp
2BV8ty4rH4pOWhxXNZufdA,1,(-3.7, -1.7, 10.9),(-3.9, -2.0, 10.4),(-3.6, 0.2, 11.4),4/19/2022 11:50:49 PM
3mbCds5Oz1HAYLWvM_Nrve,1,(-3.7, -1.7, 10.9),(-3.9, -2.0, 10.4),(-3.6, 0.2, 11.4),4/19/2022 11:50:49 PM
3mbCds5Oz1HAYLWvM_NruE,1,(-3.7, -1.7, 10.9),(-3.9, -2.0, 10.4),(-3.6, 0.2, 11.4),4/19/2022 11:50:49 PM
0Tvs4M7R97jQCgozPunvhD,1,(-3.7, -1.7, 10.9),(-3.9, -2.0, 10.4),(-3.6, 0.2, 11.4),4/19/2022 11:50:49 PM
2lrUU8Tqz92AICLQu1TLwU,1,(-3.7, -1.7, 10.9),(-3.9, -2.0, 10.4),(-3.6, 0.2, 11.4),4/19/2022 11:50:49 PM
2RMpgrzej4Lg$r4DshTPL4,1,(-3.7, -1.7, 10.9),(-3.9, -2.0, 10.4),(-3.6, 0.2, 11.4),4/19/2022 11:50:49 PM
1XtC_MuVf1wBP2klLVvfat,1,(-3.7, -1.7, 10.9),(-3.9, -2.0, 10.4),(-3.6, 0.2, 11.4),4/19/2022 11:50:49 PM
3zbXr_lBv5jgOEo802_LGZ,1,(-3.0, -1.5, 9.9),(-4.2, -1.9, 8.0),(-3.0, -1.3, 10.0),4/19/2022 11:50:49 PM
1eu4XPbTzBchVWRGaY34Ai,5,(-3.0, -1.5, 9.9),(-4.2, -1.9, 8.0),(-3.0, -1.3, 10.0),4/19/2022 11:50:49 PM
0PfeWE7Aj7GBHCsLa672r6,6,(-3.0, -1.5, 9.9),(-4.2, -1.9, 8.0),(-3.0, -1.3, 10.0),4/19/2022 11:50:49 PM
2lWrGK6Aj43QEHo8Gwf54I,1,(-3.0, -1.5, 9.9),(-4.2, -1.9, 8.0),(-3.0, -1.3, 10.0),4/19/2022 11:50:49 PM
2BV8ty4rH4pOWhxXNZufdA,1,(-3.0, -1.5, 9.9),(-4.2, -1.9, 8.0),(-3.0, -1.3, 10.0),4/19/2022 11:50:49 PM
3mbCds5Oz1HAYLWvM_Nrve,1,(-3.0, -1.5, 9.9),(-4.2, -1.9, 8.0),(-3.0, -1.3, 10.0),4/19/2022 11:50:49 PM
3mbCds5Oz1HAYLWvM_NruE,1,(-3.0, -1.5, 9.9),(-4.2, -1.9, 8.0),(-3.0, -1.3, 10.0),4/19/2022 11:50:49 PM
0Tvs4M7R97jQCgozPunvhD,1,(-3.0, -1.5, 9.9),(-4.2, -1.9, 8.0),(-3.0, -1.3, 10.0),4/19/2022 11:50:49 PM
2lrUU8Tqz92AICLQu1TLwU,1,(-3.0, -1.5, 9.9),(-4.2, -1.9, 8.0),(-3.0, -1.3, 10.0),4/19/2022 11:50:49 PM
2RMpgrzej4Lg$r4DshTPL4,1,(-3.0, -1.5, 9.9),(-4.2, -1.9, 8.0),(-3.0, -1.3, 10.0),4/19/2022 11:50:49 PM
